Casilla;X;Y;Access Point;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
10;190;190;AP1;-64;-64;-62;-62;-64;-64;-64;-64;-64;-63;-63;-63;-63;-68;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-62;-62;-62;-62;-62;-62;-63;-63;-63;-63;-63;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-65;-65;-65;-63;-63;-63;-63;-64;-64;-64;-64;-63;-63;-64;-65;-63;-65;-65;-63;-63;-64;-64;-64;-64;-63;-63;-64;-64;-63;-63;-63;-62;-63;-64;-64;-62;-65;-65;-65;-66;-66;-65;-65;-65;-64;-62;-62;-63;-63;-63;-63;-63;-64;-64;-62
10;190;190;AP2;-64;-65;-65;-64;-64;-67;-67;-64;-63;-64;-64;-64;-63;-63;-64;-64;-64;-64;-65;-65;-65;-64;-65;-64;-64;-64;-65;-64;-64;-64;-64;-64;-64;-64;-65;-65;-65;-65;-64;-64;-64;-64;-64;-64;-62;-65;-64;-64;-65;-65;-64;-66;-66;-66;-63;-64;-64;-64;-64;-64;-63;-64;-63;-63;-63;-65;-65;-65;-65;-65;-64;-64;-75;-75;-65;-65;-64;-64;-64;-61;-61;-67;-67;-67;-67;-64;-65;-65;-65;-66;-65;-65;-65;-65;-65;-66;-64;-64;-66;-63
11;210;190;AP0;-53;-53;-53;-53;-55;-55;-54;-54;-55;-55;-54;-54;-54;-55;-54;-54;-52;-52;-52;-52;-52;-53;-52;-52;-52;-52;-53;-52;-52;-52;-52;-52;-52;-52;-51;-51;-52;-52;-51;-52;-52;-51;-51;-54;-52;-52;-52;-52;-53;-53;-53;-52;-52;-52;-52;-53;-53;-52;-52;-52;-53;-53;-53;-53;-52;-52;-52;-52;-52;-52;-52;-52;-52;-53;-53;-51;-51;-51;-51;-52;-52;-52;-52;-52;-52;-52;-52;-52;-53;-53;-52;-53;-53;-53;-52;-52;-53;-52;-52;-53
11;210;190;AP1;-58;-60;-60;-60;-60;-61;-61;-61;-61;-59;-59;-61;-62;-62;-60;-60;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-57;-59;-59;-57;-58;-58;-55;-58;-58;-57;-58;-56;-56;-58;-57;-60;-60;-57;-58;-57;-57;-57;-58;-57;-58;-58;-58;-58;-58;-58;-58;-58;-57;-57;-57;-59;-58;-58;-58;-58;-57;-57;-58;-57;-57;-57;-58;-58;-56;-56;-57;-57;-57;-57;-58;-58;-57;-59;-57;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-59;-58
11;210;190;AP2;-63;-65;-65;-65;-66;-65;-65;-65;-65;-63;-65;-65;-65;-64;-64;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-62;-62;-62;-62;-63;-63;-63;-62;-62;-62;-62;-60;-62;-62;-62;-62;-61;-61;-61;-61;-61;-61;-61;-61;-62;-62;-62;-62;-60;-61;-61;-62;-62;-60;-60;-61;-62;-61;-61;-63;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-62;-65;-61;-61;-61;-61;-62;-62;-62;-61;-59;-61;-61;-60;-61;-61;-61;-60;-60;-62;-62;-61
12;230;190;AP0;-49;-48;-50;-49;-49;-50;-49;-49;-49;-49;-49;-50;-49;-49;-49;-49;-50;-50;-51;-51;-51;-49;-51;-51;-51;-51;-51;-51;-54;-54;-52;-52;-51;-50;-50;-50;-50;-50;-50;-49;-50;-50;-50;-49;-49;-50;-50;-49;-52;-50;-50;-50;-49;-49;-49;-49;-50;-49;-49;-49;-50;-50;-50;-50;-50;-49;-49;-50;-50;-50;-50;-49;-49;-50;-50;-50;-50;-49;-50;-50;-50;-51;-50;-50;-49;-49;-50;-50;-50;-50;-67;-49;-49;-50;-50;-51;-51;-51;-50;-50
12;230;190;AP1;-51;-51;-51;-50;-50;-52;-52;-52;-52;-52;-50;-52;-52;-51;-53;-51;-51;-53;-53;-53;-52;-51;-51;-51;-52;-52;-52;-52;-52;-54;-53;-53;-53;-51;-50;-50;-52;-52;-51;-51;-51;-51;-51;-52;-52;-50;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-52;-52;-50;-52;-51;-51;-52;-51;-52;-52;-52;-52;-52;-51;-51;-53;-52;-52;-52;-52;-52;-51;-51;-51;-51;-51;-51;-51;-51;-50;-51;-51;-51;-51;-56;-56;-56;-53;-53;-52;-52;-53;-54;-52
12;230;190;AP2;-55;-55;-55;-57;-55;-55;-57;-56;-56;-56;-57;-57;-56;-56;-57;-57;-57;-57;-56;-56;-56;-56;-56;-56;-56;-56;-56;-57;-57;-57;-58;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-57;-58;-56;-56;-57;-57;-55;-55;-57;-56;-56;-57;-57;-57;-56;-56;-56;-56;-56;-56;-58;-57;-56;-57;-58;-58;-58;-57;-57;-57;-57;-57;-57;-57;-57;-56;-57;-55;-55;-58;-58;-56;-56;-55;-55;-57;-57;-60;-57;-57;-57;-57;-57;-57;-57;-57;-57
13;250;190;AP0;-59;-59;-59;-59;-59;-58;-60;-60;-60;-60;-59;-59;-59;-59;-59;-60;-60;-63;-63;-61;-61;-60;-60;-60;-59;-59;-59;-59;-59;-59;-56;-56;-56;-59;-59;-59;-58;-58;-59;-59;-60;-60;-61;-61;-56;-60;-60;-60;-60;-59;-59;-60;-60;-59;-59;-59;-59;-60;-60;-59;-59;-60;-60;-60;-60;-60;-59;-59;-60;-60;-60;-60;-59;-59;-59;-59;-59;-59;-59;-60;-58;-58;-58;-58;-60;-58;-58;-60;-59;-59;-59;-59;-59;-60;-60;-59;-59;-59;-60;-61
13;250;190;AP1;-45;-43;-43;-44;-44;-43;-43;-44;-44;-44;-43;-43;-43;-43;-45;-44;-45;-45;-46;-47;-46;-46;-46;-44;-45;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-45;-43;-44;-44;-45;-44;-44;-44;-45;-45;-45;-44;-43;-44;-44;-44;-45;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-47;-44;-44;-44;-43;-43;-43;-43;-44;-44;-44;-44;-43;-45;-43;-43;-43;-44;-43;-43;-43;-43;-43;-43;-43;-44
