Casilla;X;Y;Access Point;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
103;50;90;AP0;-57;-57;-57;-57;-57;-57;-57;-56;-57;-57;-57;-57;-57;-57;-57;-57;-57;-58;-58;-57;-57;-57;-56;-56;-56;-56;-56;-56;-56;-57;-57;-58;-57;-57;-57;-57;-58;-58;-58;-57;-57;-56;-57;-57;-57;-57;-57;-56;-56;-57;-57;-57;-57;-58;-57;-58;-58;-58;-56;-60;-60;-60;-60;-58;-57;-57;-57;-57;-58;-58;-56;-56;-57;-57;-56;-56;-56;-57;-57;-56;-56;-57;-57;-57;-55;-55;-55;-55;-58;-56;-56;-56;-56;-56;-56;-59;-59;-57;-57;-57
103;50;90;AP1;-58;-58;-58;-58;-58;-58;-56;-57;-57;-57;-57;-58;-58;-57;-57;-57;-56;-56;-57;-57;-57;-57;-57;-59;-57;-57;-56;-56;-56;-56;-56;-57;-58;-58;-59;-56;-57;-57;-56;-57;-57;-56;-57;-57;-57;-57;-56;-57;-57;-57;-56;-57;-57;-58;-57;-57;-57;-57;-58;-58;-58;-60;-59;-57;-56;-56;-57;-56;-57;-57;-55;-55;-53;-53;-55;-55;-55;-57;-57;-57;-57;-56;-56;-56;-56;-56;-57;-57;-57;-57;-57;-56;-56;-56;-56;-57;-56;-57;-57;-58
103;50;90;AP2;-58;-58;-60;-60;-60;-60;-62;-62;-62;-62;-62;-62;-63;-63;-60;-60;-63;-61;-62;-62;-62;-62;-60;-61;-61;-60;-60;-60;-61;-63;-63;-60;-60;-61;-62;-61;-60;-61;-61;-61;-61;-61;-60;-60;-60;-60;-59;-59;-60;-60;-60;-60;-59;-59;-59;-59;-61;-61;-61;-61;-62;-61;-59;-59;-60;-60;-54;-54;-54;-54;-61;-60;-60;-61;-60;-60;-61;-60;-60;-60;-59;-59;-60;-60;-60;-60;-60;-59;-63;-63;-61;-61;-60;-60;-60;-60;-61;-61;-61;-61
104;70;90;AP0;-59;-60;-60;-60;-60;-59;-59;-61;-58;-60;-60;-60;-61;-61;-62;-62;-61;-62;-62;-60;-60;-60;-60;-60;-61;-61;-61;-60;-60;-61;-61;-60;-60;-60;-60;-60;-61;-59;-59;-59;-59;-59;-59;-59;-59;-60;-59;-58;-58;-58;-58;-60;-60;-59;-59;-58;-58;-59;-62;-62;-62;-62;-59;-59;-59;-59;-58;-58;-58;-59;-58;-58;-58;-59;-57;-61;-61;-61;-62;-62;-62;-62;-62;-62;-63;-63;-61;-61;-58;-58;-58;-58;-58;-60;-59;-59;-61;-62;-61;-61
104;70;90;AP1;-59;-60;-60;-60;-60;-60;-60;-59;-59;-59;-59;-59;-58;-58;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-59;-59;-59;-59;-61;-61;-61;-61;-62;-62;-60;-60;-62;-60;-60;-60;-60;-61;-60;-59;-59;-59;-59;-58;-59;-59;-60;-60;-60;-60;-59;-59;-61;-62;-63;-63;-63;-58;-58;-59;-59;-61;-59;-58;-58;-60;-59;-59;-59;-61;-61;-61;-61;-61;-60;-63;-63;-61;-61;-61;-58;-57;-57;-57;-57;-58;-58;-58;-58;-61;-61;-61;-61
104;70;90;AP2;-66;-67;-65;-65;-67;-67;-67;-67;-67;-67;-68;-68;-68;-66;-66;-65;-65;-65;-65;-65;-68;-68;-68;-68;-68;-68;-67;-67;-67;-68;-68;-68;-66;-66;-68;-68;-68;-66;-67;-67;-70;-70;-70;-67;-68;-68;-68;-67;-65;-65;-65;-66;-67;-67;-67;-66;-66;-66;-70;-69;-68;-68;-68;-61;-61;-65;-67;-71;-71;-66;-66;-65;-65;-65;-65;-69;-69;-69;-69;-69;-67;-67;-69;-69;-70;-68;-69;-69;-69;-65;-65;-66;-66;-62;-62;-67;-67;-69;-69;-68
105;90;90;AP0;-48;-49;-49;-49;-50;-50;-50;-50;-52;-52;-52;-51;-51;-51;-52;-51;-51;-52;-52;-52;-52;-52;-52;-52;-52;-52;-50;-50;-52;-52;-52;-52;-53;-52;-52;-51;-52;-59;-59;-52;-52;-52;-52;-51;-51;-52;-52;-52;-51;-51;-51;-52;-52;-52;-52;-52;-51;-51;-51;-53;-51;-52;-52;-52;-52;-50;-50;-52;-52;-52;-52;-51;-51;-51;-52;-52;-55;-54;-54;-52;-52;-51;-51;-51;-51;-50;-50;-51;-51;-51;-51;-50;-51;-51;-51;-52;-52;-51;-51;-52
105;90;90;AP1;-49;-49;-49;-49;-54;-54;-53;-53;-57;-57;-57;-57;-57;-58;-58;-57;-57;-57;-57;-57;-57;-57;-57;-57;-56;-56;-56;-56;-56;-56;-56;-56;-54;-54;-57;-57;-57;-56;-56;-56;-56;-57;-57;-58;-58;-56;-56;-57;-57;-57;-57;-60;-57;-57;-57;-57;-58;-58;-58;-56;-57;-57;-57;-57;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-59;-60;-60;-56;-57;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-57;-57;-56;-56;-56;-56;-56;-56
105;90;90;AP2;-57;-59;-58;-58;-57;-57;-58;-57;-59;-59;-59;-60;-60;-60;-60;-60;-59;-60;-59;-59;-59;-59;-61;-60;-60;-60;-61;-62;-62;-62;-62;-60;-60;-60;-61;-60;-60;-60;-61;-61;-61;-61;-59;-59;-60;-60;-61;-61;-61;-61;-61;-62;-62;-62;-62;-60;-60;-60;-60;-58;-58;-58;-60;-60;-61;-61;-61;-61;-61;-61;-59;-59;-60;-59;-59;-60;-60;-61;-61;-59;-59;-59;-52;-52;-59;-59;-59;-59;-58;-58;-58;-58;-58;-59;-59;-59;-59;-59;-59;-59
106;110;90;AP0;-51;-51;-51;-51;-50;-50;-51;-50;-50;-51;-51;-51;-51;-52;-52;-51;-51;-51;-52;-52;-52;-52;-52;-52;-52;-51;-51;-52;-52;-51;-51;-52;-52;-51;-51;-52;-51;-52;-52;-51;-51;-52;-52;-51;-51;-50;-50;-52;-52;-52;-52;-52;-50;-50;-50;-50;-52;-51;-51;-52;-52;-51;-52;-51;-51;-51;-52;-52;-51;-51;-51;-51;-52;-52;-51;-51;-51;-51;-51;-50;-51;-52;-52;-51;-51;-51;-51;-51;-51;-52;-51;-51;-51;-52;-52;-52;-52;-52;-52;-52
106;110;90;AP1;-57;-57;-57;-57;-52;-57;-56;-57;-57;-57;-56;-56;-56;-56;-56;-57;-58;-58;-57;-57;-56;-58;-58;-59;-59;-59;-56;-57;-57;-57;-57;-56;-56;-57;-57;-58;-58;-56;-56;-57;-57;-56;-57;-58;-58;-58;-56;-59;-59;-59;-59;-56;-56;-56;-56;-56;-56;-57;-57;-56;-56;-56;-56;-56;-57;-57;-57;-57;-56;-57;-58;-58;-56;-56;-55;-55;-55;-56;-56;-56;-56;-56;-56;-57;-57;-57;-56;-57;-57;-58;-55;-56;-56;-55;-55;-57;-57;-56;-59;-59
106;110;90;AP2;-56;-56;-56;-56;-57;-57;-57;-58;-57;-58;-57;-57;-57;-56;-57;-57;-57;-57;-59;-59;-58;-58;-57;-57;-58;-58;-59;-59;-58;-58;-56;-56;-56;-57;-57;-57;-57;-56;-57;-57;-57;-57;-57;-57;-56;-59;-57;-57;-58;-57;-57;-57;-57;-57;-57;-57;-59;-14,75;-58;-56;-58;-58;-57;-57;-53;-53;-56;-57;-56;-56;-57;-57;-56;-56;-52;-52;-52;-58;-58;-58;-58;-58;-52;-57;-59;-59;-57;-59;-58;-58;-57;-57;-58;-58;-58;-58;-56;-56;-58;-59
107;130;90;AP0;-55;-56;-56;-56;-56;-55;-55;-56;-56;-56;-56;-55;-55;-56;-56;-54;-56;-56;-56;-56;-56;-55;-55;-55;-55;-55;-55;-55;-55;-54;-56;-55;-55;-58;-59;-55;-55;-56;-56;-55;-55;-56;-56;-55;-56;-55;-55;-55;-54;-54;-55;-55;-56;-55;-55;-56;-56;-55;-55;-55;-55;-56;-56;-55;-56;-54;-55;-55;-55;-56;-56;-55;-55;-55;-55;-55;-55;-56;-57;-57;-56;-56;-56;-55;-55;-55;-56;-56;-54;-54;-55;-55;-56;-56;-55;-56;-56;-56;-57;-56
107;130;90;AP1;-52;-53;-53;-53;-53;-53;-53;-53;-53;-53;-54;-54;-54;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-52;-54;-53;-53;-54;-54;-52;-52;-53;-53;-55;-55;-54;-54;-53;-53;-54;-54;-52;-52;-52;-52;-54;-54;-54;-54;-54;-53;-53;-52;-52;-52;-53;-53;-52;-52;-52;-52;-53;-53;-53;-53;-52;-53;-52;-52;-52;-52;-52;-52;-54;-54;-52;-53;-53;-53;-53;-53;-54;-52;-52;-53;-53;-53;-53;-53;-53;-53;-55;-52;-53;-53;-53;-53;-53;-54;-52
107;130;90;AP2;-58;-58;-57;-56;-56;-56;-56;-56;-58;-57;-57;-57;-57;-58;-58;-58;-56;-58;-58;-57;-57;-57;-57;-58;-58;-58;-58;-56;-58;-58;-58;-58;-57;-57;-59;-59;-59;-57;-56;-57;-55;-57;-57;-57;-58;-57;-57;-57;-58;-57;-57;-57;-57;-57;-58;-58;-57;-57;-57;-57;-57;-57;-58;-58;-58;-58;-58;-57;-58;-58;-58;-58;-58;-58;-57;-58;-57;-57;-60;-56;-56;-57;-57;-67;-56;-57;-57;-58;-42;-58;-14;-57;-57;-58;-57;-58;-58;-57;-57;-56
108;150;90;AP0;-54;-54;-54;-53;-53;-53;-53;-53;-54;-51;-51;-50;-53;-51;-50;-50;-50;-50;-50;-50;-50;-51;-51;-50;-51;-52;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-50;-50;-49;-49;-49;-49;-50;-49;-49;-50;-51;-49;-51;-51;-49;-70;-53;-51;-50;-50;-51;-51;-49;-49;-49;-51;-52;-53;-53;-53;-51;-51;-51;-53;-53;-49;-49;-49;-49;-50;-52;-52;-51;-51;-51;-51;-53;-51;-51;-51;-50;-49;-49;-50;-50;-49;-49;-49;-49;-50;-49;-50;-50
108;150;90;AP1;-59;-59;-59;-59;-59;-62;-62;-62;-57;-57;-57;-58;-58;-58;-58;-56;-58;-57;-55;-56;-56;-56;-57;-57;-56;-56;-58;-56;-56;-56;-57;-58;-58;-56;-56;-56;-57;-58;-58;-55;-59;-56;-56;-57;-57;-57;-57;-58;-57;-57;-56;-56;-60;-59;-60;-60;-60;-60;-60;-59;-57;-56;-60;-59;-58;-57;-58;-59;-59;-59;-57;-54;-56;-55;-55;-56;-55;-59;-59;-60;-59;-59;-59;-58;-58;-65;-65;-56;-57;-57;-56;-57;-57;-56;-56;-56;-56;-56;-56;-56
108;150;90;AP2;-68;-68;-64;-70;-67;-68;-68;-68;-60;-60;-58;-58;-64;-64;-64;-67;-67;-67;-67;-68;-68;-65;-65;-65;-65;-68;-64;-64;-64;-4;-63;-63;-64;-64;-63;-63;-63;-65;-65;-65;-63;-63;-63;-63;-63;-66;-66;-66;-66;-66;-65;-68;-68;-68;-68;-68;-68;-68;-68;-68;-65;-62;-62;-63;-67;-67;-67;-67;-63;-67;-67;-67;-67;-67;-67;-66;-66;-66;-66;-66;-66;-68;-68;-64;-66;-65;-65;-64;-64;-66;-65;-65;-65;-65;-64;-64;-65;-65;-66;-66
109;170;90;AP0;-53;-53;-53;-53;-53;-53;-52;-52;-53;-52;-52;-52;-52;-52;-52;-52;-52;-52;-52;-53;-53;-52;-52;-52;-57;-53;-53;-53;-54;-54;-54;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-56;-54;-53;-53;-54;-54;-53;-53;-52;-52;-52;-52;-52;-52;-54;-54;-53;-52;-52;-52;-53;-52;-52;-52;-53;-53;-53;-52;-53;-53;-52;-52;-55;-57;-57;-56;-54;-54;-54;-53;-53;-53;-53;-52;-52;-53;-53;-53;-53;-54;-54;-54;-53;-52;-53;-53;-53
109;170;90;AP1;-60;-60;-62;-61;-61;-61;-59;-59;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-59;-58;-59;-59;-59;-63;-60;-60;-60;-61;-61;-61;-60;-61;-61;-61;-62;-60;-61;-60;-60;-60;-60;-61;-61;-61;-61;-61;-61;-60;-60;-60;-60;-59;-59;-60;-60;-62;-60;-60;-60;-60;-58;-58;-58;-60;-60;-60;-60;-60;-60;-60;-59;-59;-59;-60;-59;-62;-62;-61;-61;-60;-60;-60;-60;-60;-59;-59;-59;-60;-60;-60;-58;-58;-59;-59;-58;-59;-59;-59;-60;-59
109;170;90;AP2;-56;-56;-56;-58;-57;-58;-58;-56;-57;-56;-56;-57;-57;-57;-57;-57;-56;-58;-58;-58;-58;-58;-57;-57;-59;-57;-57;-57;-58;-58;-58;-57;-57;-57;-58;-57;-57;-57;-57;-58;-56;-56;-55;-55;-56;-56;-55;-57;-56;-56;-56;-56;-55;-58;-57;-59;-59;-59;-59;-59;-58;-58;-57;-57;-56;-56;-56;-56;-57;-57;-56;-56;-55;-55;-57;-57;-60;-59;-59;-57;-57;-57;-57;-56;-56;-58;-58;-58;-58;-57;-57;-71;-71;-56;-56;-55;-55;-56;-56;-56
110;190;90;AP0;-52;-53;-53;-55;-56;-56;-52;-53;-53;-52;-52;-52;-52;-52;-52;-52;-52;-52;-52;-52;-52;-54;-54;-53;-53;-52;-53;-53;-52;-52;-53;-53;-53;-54;-52;-52;-52;-52;-53;-53;-53;-53;-53;-53;-54;-52;-53;-53;-54;-54;-54;-54;-53;-53;-53;-56;-55;-54;-53;-55;-55;-55;-53;-53;-53;-53;-54;-54;-56;-56;-54;-53;-53;-53;-56;-56;-56;-56;-54;-54;-54;-53;-55;-55;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-54;-54;-54;-54;-54;-53
110;190;90;AP1;-66;-67;-67;-67;-71;-71;-70;-70;-69;-70;-70;-70;-70;-70;-70;-70;-70;-70;-71;-71;-71;-67;-67;-67;-67;-67;-67;-67;-71;-71;-71;-71;-71;-71;-71;-71;-72;-72;-72;-72;-72;-72;-72;-72;-72;-70;-73;-73;-73;-73;-73;-73;-66;-66;-66;-73;-73;-73;-73;-67;-67;-67;-72;-69;-69;-67;-67;-67;-74;-74;-71;-71;-70;-70;-70;-70;-70;-70;-70;-70;-69;-69;-69;-69;-69;-69;-69;-69;-69;-69;-69;-69;-71;-71;-72;-72;-72;-72;-72;-72
110;190;90;AP2;-54;-54;-54;-58;-57;-57;-54;-57;-54;-54;-54;-53;-54;-54;-54;-55;-55;-54;-54;-54;-54;-56;-55;-56;-56;-56;-57;-57;-55;-55;-55;-56;-55;-55;-55;-55;-55;-55;-54;-55;-55;-55;-55;-57;-57;-55;-55;-56;-56;-56;-56;-54;-55;-55;-55;-59;-59;-56;-57;-55;-58;-58;-55;-55;-56;-56;-56;-56;-59;-56;-56;-56;-55;-55;-58;-58;-58;-58;-55;-55;-55;-60;-57;-57;-56;-55;-55;-56;-55;-55;-55;-55;-54;-54;-54;-56;-55;-56;-56;-54
111;210;90;AP0;-54;-54;-54;-55;-54;-54;-55;-53;-53;-54;-54;-55;-55;-54;-54;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-54;-55;-55;-55;-55;-53;-57;-55;-55;-54;-55;-54;-54;-55;-55;-54;-54;-54;-54;-57;-55;-55;-55;-55;-56;-57;-57;-57;-57;-57;-57;-57;-57;-57;-58;-58;-58;-56;-56;-56;-54;-57;-58;-56;-56;-56;-56;-57;-58;-56;-56;-55;-55;-55;-55;-55;-56;-56;-55;-55;-55;-54;-55;-55;-54;-55;-55;-56;-56;-55;-54;-54;-54;-55;-55
111;210;90;AP1;-55;-56;-56;-55;-55;-55;-55;-55;-55;-54;-54;-55;-55;-56;-56;-56;-56;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-54;-54;-54;-54;-54;-55;-55;-55;-55;-54;-54;-56;-56;-54;-56;-55;-55;-55;-55;-55;-56;-56;-57;-57;-57;-57;-58;-57;-58;-58;-58;-57;-57;-57;-58;-56;-56;-54;-56;-56;-57;-57;-56;-56;-57;-57;-57;-57;-57;-54;-56;-55;-55;-55;-56;-55;-55;-56;-56;-54;-55;-55;-54;-56;-55;-55;-55;-56;-57;-54;-55;-55;-55
111;210;90;AP2;-58;-60;-60;-60;-59;-59;-60;-60;-62;-59;-60;-60;-61;-60;-61;-61;-61;-58;-58;-59;-59;-59;-59;-60;-60;-58;-58;-58;-61;-58;-58;-58;-58;-59;-59;-58;-58;-59;-59;-60;-60;-59;-59;-59;-59;-60;-59;-61;-61;-63;-61;-61;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-59;-60;-60;-59;-59;-61;-62;-61;-62;-62;-60;-60;-60;-61;-58;-58;-60;-59;-59;-59;-59;-59;-59;-59;-59;-61;-61;-60;-60;-58;-59;-59;-58;-58;-59;-59;-59;-59
112;230;90;AP0;-61;-61;-64;-64;-64;-61;-63;-61;-61;-64;-64;-64;-63;-62;-62;-63;-63;-63;-62;-62;-62;-62;-64;-65;-60;-60;-55;-61;-61;-61;-61;-63;-66;-64;-64;-64;-63;-65;-62;-62;-62;-62;-63;-62;-62;-62;-62;-61;-61;-61;-61;-61;-61;-60;-61;-61;-61;-61;-61;-61;-65;-65;-65;-65;-65;-65;-65;-65;-61;-61;-61;-61;-61;-65;-65;-65;-65;-65;-65;-65;-66;-66;-62;-62;-61;-61;-61;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62
112;230;90;AP1;-56;-56;-56;-56;-56;-55;-56;-56;-56;-56;-57;-56;-57;-57;-55;-54;-55;-56;-56;-55;-55;-55;-55;-56;-56;-56;-56;-56;-56;-58;-58;-58;-58;-58;-58;-58;-58;-61;-55;-55;-54;-53;-55;-55;-55;-54;-54;-55;-55;-55;-55;-55;-55;-56;-56;-56;-56;-56;-52;-52;-58;-58;-57;-58;-58;-58;-58;-57;-56;-56;-55;-56;-56;-58;-58;-58;-58;-58;-58;-58;-58;-58;-56;-56;-55;-55;-56;-56;-56;-57;-57;-57;-55;-55;-55;-57;-57;-55;-56;-56
112;230;90;AP2;-59;-59;-59;-55;-58;-57;-57;-59;-58;-58;-59;-59;-59;-60;-58;-58;-59;-59;-58;-59;-59;-60;-60;-60;-60;-59;-59;-58;-58;-58;-58;-60;-60;-59;-61;-61;-61;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-57;-58;-58;-59;-59;-56;-56;-57;-57;-58;-58;-59;-58;-60;-61;-61;-60;-60;-61;-61;-61;-59;-59;-58;-58;-58;-63;-63;-60;-60;-61;-60;-61;-61;-61;-60;-61;-61;-61;-60;-60;-60;-60;-58;-58;-58;-58;-58;-58;-58;-59;-59;-59
113;250;90;AP0;-53;-52;-53;-53;-53;-53;-54;-54;-54;-54;-53;-53;-53;-53;-52;-52;-53;-51;-51;-51;-51;-51;-52;-52;-52;-52;-52;-52;-52;-53;-52;-52;-52;-52;-52;-52;-52;-52;-52;-52;-53;-53;-54;-54;-54;-54;-51;-52;-52;-52;-52;-51;-51;-52;-52;-53;-53;-51;-52;-52;-52;-51;-51;-53;-52;-52;-52;-52;-52;-52;-52;-52;-52;-53;-54;-54;-51;-51;-53;-52;-53;-52;-52;-51;-53;-52;-51;-51;-51;-52;-52;-52;-53;-52;-52;-52;-52;-52;-52;-52
113;250;90;AP1;-55;-55;-54;-54;-55;-55;-56;-55;-57;-57;-54;-54;-55;-55;-55;-54;-55;-55;-54;-54;-54;-54;-54;-55;-55;-55;-55;-54;-54;-54;-55;-55;-55;-54;-55;-55;-55;-55;-54;-54;-56;-56;-54;-54;-55;-55;-55;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-53;-53;-54;-55;-55;-54;-54;-54;-54;-54;-54;-54;-54;-55;-54;-54;-54;-54;-54;-55;-55;-54;-54;-55;-55;-55;-54;-55;-55;-55;-55;-54;-54;-54;-54;-54;-54;-54;-55;-54;-54;-54
113;250;90;AP2;-68;-70;-70;-70;-70;-70;-66;-66;-66;-68;-68;-68;-68;-69;-69;-69;-68;-70;-70;-70;-69;-69;-69;-69;-68;-68;-68;-68;-68;-68;-70;-70;-70;-69;-69;-69;-69;-69;-69;-69;-69;-68;-66;-66;-66;-66;-66;-69;-69;-69;-69;-69;-69;-69;-69;-69;-68;-68;-68;-68;-68;-68;-70;-70;-70;-70;-68;-68;-68;-68;-68;-69;-69;-69;-69;-69;-67;-67;-68;-68;-68;-68;-68;-68;-68;-68;-69;-69;-67;-67;-64;-64;-69;-69;-69;-69;-69;-69;-69;-71
114;270;90;AP0;-54;-51;-51;-51;-51;-51;-51;-51;-51;-50;-50;-50;-51;-52;-50;-50;-50;-50;-51;-51;-51;-51;-51;-51;-52;-51;-51;-51;-51;-51;-54;-54;-54;-54;-54;-54;-53;-54;-54;-54;-53;-53;-51;-51;-51;-51;-51;-51;-51;-51;-52;-52;-52;-52;-52;-52;-51;-51;-51;-52;-52;-51;-51;-50;-50;-51;-51;-52;-51;-51;-53;-53;-51;-51;-50;-50;-50;-51;-51;-51;-51;-50;-51;-51;-51;-54;-54;-54;-55;-54;-51;-51;-52;-52;-52;-52;-50;-52;-51;-51
114;270;90;AP1;-58;-52;-54;-55;-53;-53;-52;-52;-51;-52;-52;-51;-51;-52;-52;-52;-51;-51;-51;-52;-52;-53;-51;-53;-52;-51;-51;-51;-51;-51;-55;-55;-55;-55;-56;-56;-55;-54;-54;-55;-55;-55;-50;-51;-51;-51;-51;-51;-52;-52;-52;-52;-52;-52;-52;-51;-51;-51;-53;-52;-51;-52;-52;-52;-52;-52;-52;-54;-54;-54;-54;-54;-53;-52;-52;-53;-53;-52;-52;-52;-52;-52;-52;-52;-51;-55;-54;-54;-55;-52;-52;-52;-52;-52;-51;-52;-53;-52;-52;-52
114;270;90;AP2;-63;-62;-60;-61;-55;-61;-61;-3,81;-61;-61;-61;-60;-60;-61;-60;-60;-59;-59;-59;-59;-59;-59;-60;-60;-60;-60;-60;-61;-61;-61;-65;-64;-64;-63;-62;-62;-62;-63;-63;-63;-63;-60;-60;-60;-60;-59;-59;-60;-60;-60;-60;-60;-60;-60;-61;-61;-59;-59;-59;-59;-59;-59;-60;-60;-60;-59;-62;-61;-61;-61;-61;-60;-59;-61;-61;-61;-60;-60;-60;-60;-60;-60;-60;-60;-60;-62;-63;-63;-63;-63;-63;-60;-61;-59;-59;-60;-60;-60;-60;-60
115;290;90;AP0;-56;-58;-55;-55;-56;-56;-57;-56;-56;-56;-56;-58;-58;-58;-58;-58;-57;-58;-54;-56;-56;-57;-57;-55;-55;-55;-55;-54;-54;-58;-58;-55;-55;-58;-58;-59;-59;-59;-59;-59;-59;-54;-54;-56;-56;-56;-56;-56;-57;-57;-54;-54;-56;-56;-56;-55;-55;-55;-55;-55;-55;-55;-56;-56;-57;-57;-57;-56;-56;-56;-55;-55;-54;-57;-56;-56;-55;-55;-55;-55;-58;-57;-57;-57;-59;-57;-59;-59;-56;-56;-57;-57;-57;-57;-55;-57;-55;-56;-56;-55
115;290;90;AP1;-52;-52;-52;-52;-52;-52;-53;-54;-53;-52;-52;-56;-56;-55;-55;-55;-55;-56;-52;-53;-53;-54;-54;-54;-53;-52;-52;-54;-54;-54;-53;-53;-53;-54;-54;-56;-56;-53;-53;-53;-52;-52;-52;-51;-51;-52;-52;-52;-52;-53;-53;-53;-52;-52;-52;-52;-52;-52;-53;-53;-53;-53;-53;-53;-53;-53;-52;-52;-52;-52;-53;-53;-52;-56;-53;-53;-52;-53;-53;-53;-56;-54;-54;-54;-54;-55;-55;-52;-54;-52;-53;-53;-53;-53;-52;-53;-53;-52;-52;-52
115;290;90;AP2;-68;-68;-68;-70;-68;-68;-70;-70;-66;-66;-66;-66;-66;-66;-70;-70;-70;-70;-70;-70;-63;-63;-67;-63;-63;-63;-67;-65;-66;-65;-65;-65;-65;-70;-70;-70;-67;-67;-64;-64;-64;-64;-67;-61;-61;-61;-61;-61;-67;-69;-64;-67;-67;-68;-68;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-65;-65;-65;-66;-67;-67;-67;-68;-68;-68;-71;-67;-67;-70;-70;-70;-68;-67;-67;-67;-66;-68;-68;-68;-69;-69;-69;-69;-69
116;310;90;AP0;-55;-58;-59;-59;-59;-59;-55;-55;-54;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-56;-56;-56;-55;-55;-55;-55;-55;-52;-58;-56;-57;-55;-55;-56;-56;-59;-59;-59;-58;-55;-51;-51;-51;-56;-56;-55;-55;-55;-55;-56;-56;-55;-56;-55;-55;-56;-55;-55;-55;-55;-55;-56;-56;-56;-56;-56;-55;-55;-55;-55;-56;-56;-56;-56;-56;-56;-56;-56;-56;-57;-57;-57;-57;-55;-55;-55;-55;-56;-56;-56;-60;-59;-61;-60;-60;-61;-61;-61;-56;-56
116;310;90;AP1;-57;-59;-60;-61;-57;-57;-57;-58;-58;-57;-57;-57;-57;-57;-57;-57;-57;-59;-56;-56;-56;-57;-57;-57;-58;-58;-59;-58;-60;-58;-58;-57;-57;-57;-57;-57;-60;-60;-59;-57;-56;-56;-58;-57;-56;-56;-56;-57;-57;-56;-56;-56;-57;-58;-57;-57;-56;-56;-57;-58;-58;-58;-58;-57;-58;-58;-57;-57;-56;-56;-57;-57;-57;-58;-57;-57;-57;-57;-57;-59;-59;-59;-59;-59;-60;-57;-57;-56;-56;-56;-61;-60;-60;-62;-62;-63;-60;-59;-57;-57
116;310;90;AP2;-67;-67;-65;-67;-67;-67;-67;-67;-67;-67;-64;-64;-62;-62;-62;-63;-62;-62;-62;-62;-62;-63;-63;-63;-62;-63;-63;-64;-64;-63;-64;-64;-64;-64;-63;-63;-66;-66;-64;-62;-63;-66;-66;-66;-63;-62;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-64;-62;-62;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-64;-64;-64;-66;-66;-67;-67;-63;-63;-64;-64;-16;-64;-63;-63;-66;-65;-65;-68;-68;-65;-66;-64;-64;-63
117;330;90;AP0;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-64;-64;-65;-63;-63;-63;-63;-63;-64;-64;-64;-62;-64;-64;-63;-63;-63;-61;-62;-62;-62;-62;-62;-62;-62;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-61;-63;-64;-64;-64;-65;-67;-67;-65;-65;-65;-66;-66;-66;-65;-66;-66;-66;-65;-65;-65;-66;-67;-64;-64;-64;-64;-64;-66;-66;-66;-67;-67;-67;-65;-66;-67;-67;-65;-65;-64;-65;-65;-65;-64;-64;-65;-63;-63
117;330;90;AP1;-53;-54;-54;-54;-53;-53;-54;-53;-53;-51;-53;-53;-53;-53;-53;-52;-52;-52;-52;-68;-53;-53;-52;-52;-52;-52;-52;-53;-53;-52;-52;-55;-55;-53;-53;-53;-53;-53;-53;-53;-53;-54;-53;-53;-53;-53;-53;-53;-53;-53;-53;-54;-52;-52;-55;-55;-55;-55;-54;-54;-55;-55;-55;-55;-55;-55;-54;-54;-54;-56;-56;-55;-55;-55;-54;-54;-55;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-55;-55;-55;-55;-54;-54;-55;-55;-54;-54;-54;-56;-56
